epoch,training_loss,train_accuracy,validation_loss,validation_accuracy
0,0.6696315288543702,0.70625,0.6385697424411774,0.890625
1,0.5822419941425323,0.9484375,0.5110470950603485,0.9609375
2,0.3947194844484329,0.9609375,0.27066469192504883,0.96875
3,0.17961902245879174,0.96875,0.11109405755996704,0.96875
4,0.079086522012949,0.978125,0.051100341603159904,0.984375
5,0.06021512039005757,0.984375,0.09049566835165024,0.9765625
6,0.04968978171236813,0.9875,0.0959898098371923,0.9765625
7,0.04033572189509869,0.990625,0.10691930167376995,0.9765625
8,0.029673543758690357,0.9953125,0.11601781845092773,0.9765625
9,0.02297041448764503,0.9953125,0.11467069387435913,0.9765625
10,0.018218018906190993,0.9953125,0.11489367857575417,0.9765625
11,0.02388840897474438,0.99375,0.10245973244309425,0.984375
12,0.02050341758877039,0.9953125,0.12497510947287083,0.9765625
13,0.014039570465683937,0.9984375,0.129343556240201,0.9765625
14,0.009358882461674512,0.9984375,0.13314583152532578,0.9765625
15,0.01328990280162543,0.996875,0.14392247051000595,0.9765625
16,0.011480414611287414,0.9984375,0.12380672432482243,0.984375
17,0.010361219418700784,0.9984375,0.15615024231374264,0.9765625
18,0.00922169885598123,0.9984375,0.05529775097966194,0.984375
19,0.0079776723170653,0.9984375,0.05236974445870146,0.984375
20,0.007205322850495577,0.9984375,0.16283785924315453,0.9765625
21,0.002422171016223729,1.0,0.1633855253458023,0.9765625
22,0.006015668343752623,0.9984375,0.1721220575273037,0.9765625
23,0.005021463439334184,0.9984375,0.1537228263914585,0.984375
24,0.004321440344210714,0.9984375,0.1522618536837399,0.984375
25,0.0015189743076916783,1.0,0.18721419386565685,0.9765625
26,0.0022071680577937514,1.0,0.1862291395664215,0.9765625
27,0.0015821447595953941,1.0,0.19204843044281006,0.9765625
28,0.0015692380780819803,1.0,0.1986936628818512,0.9765625
29,0.0012531001528259366,1.0,0.2006157860159874,0.9765625
30,0.0009070829881238751,1.0,0.20553092658519745,0.9765625
31,0.0008111228671623394,1.0,0.20439822599291801,0.9765625
32,0.0007446088566211984,1.0,0.20884952694177628,0.9765625
33,0.0006365361405187286,1.0,0.18056073784828186,0.984375
34,0.0005319827643688769,1.0,0.21034631878137589,0.9765625
35,0.0005139803964993916,1.0,0.21632752381265163,0.9765625
36,0.00033489680936327204,1.0,0.2196451649069786,0.9765625
37,0.00042154031107202174,1.0,0.22205001069232821,0.9765625
38,0.00037957299500703814,1.0,0.07538825646042824,0.984375
39,0.0003500935017655138,1.0,0.22006794437766075,0.9765625
40,0.00031788711858098394,1.0,0.2269415414193645,0.9765625
41,0.00027400090912124144,1.0,0.22950487583875656,0.9765625
42,0.00026986608645529486,1.0,0.2004742994904518,0.984375
43,0.0002719033596804366,1.0,0.23142339289188385,0.9765625
44,0.00024191709744627587,1.0,0.23567519336938858,0.9765625
45,0.00022059061302570626,1.0,0.23733889684081078,0.9765625
46,0.00019183820695616304,1.0,0.23950430378317833,0.9765625
47,0.0001878037495771423,1.0,0.2408863604068756,0.9765625
48,0.00017385843384545296,1.0,0.24164295941591263,0.9765625
49,0.00017516583575343246,1.0,0.24296579882502556,0.9765625
