epoch,training_loss,train_accuracy,validation_loss,validation_accuracy
0,0.684102725982666,0.58125,0.6699384450912476,0.78125
1,0.6592536091804504,0.81875,0.6310372948646545,0.9375
2,0.6223232030868531,0.93125,0.5820311307907104,0.96875
3,0.5655349373817444,0.95625,0.5008256435394287,0.96875
4,0.48227654695510863,0.9625,0.39313453435897827,0.984375
5,0.36735214591026305,0.975,0.26081299781799316,0.984375
6,0.24960705637931824,0.975,0.15570656955242157,0.984375
7,0.15684974938631058,0.975,0.08712416887283325,0.984375
8,0.0988081619143486,0.975,0.06056540459394455,0.984375
9,0.06638952121138572,0.98125,0.04564036428928375,0.984375
10,0.044440248794853685,0.9875,0.041118115186691284,0.984375
11,0.03340853452682495,0.9875,0.03964352235198021,0.984375
12,0.026848754845559597,0.984375,0.041496068239212036,0.984375
13,0.020954466983675958,0.99375,0.04443554952740669,0.984375
14,0.012243556138128043,0.996875,0.04769706726074219,0.984375
15,0.01088842754252255,1.0,0.04827531427145004,0.984375
16,0.007400361029431224,1.0,0.04910483956336975,0.984375
17,0.00529629378579557,1.0,0.050951454788446426,0.984375
18,0.005279069626703858,1.0,0.054249875247478485,0.984375
19,0.004245255282148719,1.0,0.05718386918306351,0.984375
20,0.00322925194632262,1.0,0.06129101291298866,0.984375
21,0.0026357023743912578,1.0,0.06372735649347305,0.984375
22,0.0022604558849707245,1.0,0.06509215384721756,0.984375
23,0.002139359130524099,1.0,0.0665225088596344,0.984375
24,0.001542172976769507,1.0,0.06838922947645187,0.984375
25,0.0014087910298258067,1.0,0.07020372897386551,0.984375
26,0.0013734287349507213,1.0,0.07184682786464691,0.984375
27,0.0009802466665860265,1.0,0.0741218701004982,0.984375
28,0.0009687583078630269,1.0,0.07582821696996689,0.984375
29,0.0009838287602178752,1.0,0.07692307233810425,0.984375
30,0.0008852241327986122,1.0,0.07831791788339615,0.984375
31,0.0007932852662634104,1.0,0.07943994551897049,0.984375
32,0.0007145113486330956,1.0,0.08025559782981873,0.984375
33,0.0005515757133252919,1.0,0.08071821928024292,0.984375
34,0.0006302447174675763,1.0,0.00028964714147150517,1.0
35,0.0005859143508132547,1.0,0.00021846093295607716,1.0
36,0.0004581894783768803,1.0,0.08385471999645233,0.984375
37,0.00046297365333884953,1.0,0.00021333497716113925,1.0
38,0.0004632937314454466,1.0,0.00011899266974069178,1.0
39,0.00042651974654290826,1.0,0.0001871006388682872,1.0
40,0.0003819717967417091,1.0,0.08816922456026077,0.984375
41,0.0003019081021193415,1.0,0.08930104225873947,0.984375
42,0.0003210354072507471,1.0,0.09032817929983139,0.984375
43,0.00029428185080178083,1.0,0.0914778783917427,0.984375
44,0.00030752306047361345,1.0,0.09232720732688904,0.984375
45,0.0002850691176718101,1.0,0.09285367280244827,0.984375
46,0.0002526591852074489,1.0,0.09336264431476593,0.984375
47,0.00023386713437503203,1.0,0.0940798968076706,0.984375
48,0.00022104362287791445,1.0,0.09474887698888779,0.984375
49,0.0002121202807757072,1.0,0.0954057052731514,0.984375
