epoch,training_loss,train_accuracy,test_loss,test_accuracy,real_test_loss,real_test_accuracy,real_complete_loss,real_complete_accuracy
0,0.39381661668591117,0.8189655172413793,0.2058498743525077,0.9256756756756757,0.2238435977404671,0.9285714285714286,0.27664623512643793,0.9154929577464789
1,0.12752064885357503,0.9497126436781609,0.1888007817638887,0.9391891891891891,0.2228881847113371,0.9375,0.2775566099526387,0.9190140845070423
2,0.09450888307765126,0.9640804597701149,0.20258474675938487,0.9290540540540541,0.253082802951602,0.9285714285714286,0.3155057510216786,0.9066901408450704
3,0.07421652532862393,0.9727011494252874,0.2179426261856271,0.9391891891891891,0.25906176474693765,0.9375,0.3347972864325078,0.9172535211267606
4,0.05788510402426359,0.9798850574712644,0.22379534041219568,0.9358108108108109,0.2728740684480207,0.9464285714285714,0.33938348320973577,0.926056338028169
5,0.0380740720482982,0.992816091954023,0.2632618080730223,0.9324324324324325,0.31066758493774876,0.9464285714285714,0.396575664874458,0.9242957746478874
6,0.028401187483231997,0.9913793103448276,0.281738430455703,0.9324324324324325,0.32979004598850487,0.9375,0.4005588026460776,0.9225352112676056
7,0.019409445974502136,0.9913793103448276,0.2877152807697122,0.9358108108108109,0.3689281422304508,0.9375,0.4900718977343888,0.920774647887324
8,0.0131430240641236,0.9971264367816092,0.3378618201113076,0.9358108108108109,0.39575343883068725,0.9375,0.5062312287792173,0.9225352112676056
9,0.004686590457028103,1.0,0.3706161725737262,0.9324324324324325,0.4134157616726384,0.9375,0.5250102591048086,0.9242957746478874
10,0.002465267920321832,1.0,0.3844151824927689,0.9358108108108109,1.1886610112822902,0.9375,0.721267819265927,0.9242957746478874
11,0.0013779556226468073,1.0,0.38639867684760953,0.9358108108108109,1.2041602182319562,0.9375,0.752192350812763,0.9242957746478874
12,0.0009492582001168829,1.0,0.4289859188039938,0.9324324324324325,1.961749756360957,0.9375,0.921735649060465,0.9225352112676056
13,0.0006743769356885083,1.0,0.4476463707088147,0.9324324324324325,1.968951142157932,0.9375,1.095886783204334,0.9225352112676056
14,0.0005075749937093171,1.0,0.4672608649373252,0.9324324324324325,1.9769734195304767,0.9375,1.1226352773307942,0.9242957746478874
15,0.00036673822897964934,1.0,0.48164134231906874,0.9324324324324325,1.9837085629500035,0.9375,1.1468799712632924,0.9242957746478874
16,0.0003030712412795381,1.0,0.4972330073507197,0.9324324324324325,1.9890437900395257,0.9375,1.1646631916902226,0.9225352112676056
17,0.00023933411318627555,1.0,0.5138165801182695,0.9324324324324325,1.9263712967473643,0.9464285714285714,1.1910350235053464,0.9242957746478874
