first_round,total_rounds
1.95,23
0,0
2.43,18
0,0
5.67,20
40.26,4
0,0
0,0
0,0
0,0
3.19,22
3.29,18
3.43,36
1.75,26
0,0
7.88,21
0,0
4.81,18
4.24,17
0,0
1.53,39
15.53,1
3.34,21
1.68,20
1.22,15
6.01,16
13.22,22
13.05,3
5.96,11
0,0
1.66,27
9.48,23
0,0
7.58,20
1.7,18
3.98,27
2.35,26
17.72,9
2.98,22
1.88,19
34.73,2
3.0,27
0,0
1.27,21
7.43,29
1.2,17
11.94,14
4.47,15
0,0
0,0
6.51,21
4.95,14
5.28,3
1.21,24
2.05,25
0,0
3.96,16
0,0
50.41,3
21.76,4
0,0
0,0
3.4,34
5.11,21
3.32,10
3.42,20
0,0
30.13,11
1.57,15
2.71,11
36.05,3
1.99,34
4.33,21
18.84,4
4.08,12
0,0
6.36,15
28.35,5
10.47,5
1.91,34
0,0
1.74,43
3.06,29
0,0
2.1,26
8.43,24
24.69,12
0,0
3.43,18
21.88,10
3.11,23
12.79,10
1.19,18
3.67,24
3.8,19
9.55,23
8.82,6
3.19,24
1.98,22
1.27,16
0,0
0,0
0,0
16.35,1
2.43,23
3.23,13
2.44,23
6.6,21
4.88,5
6.73,19
0,0
3.1,21
0,0
0,0
0,0
0,0
1.89,20
2.61,46
17.32,6
0,0
1.45,30
0,0
3.9,14
4.68,22
3.1,22
6.83,9
0,0
0,0
0,0
2.31,17
4.29,24
0,0
3.25,17
0,0
1.29,12
9.97,19
8.99,26
0,0
1.84,21
3.43,28
0,0
1.24,18
0,0
8.37,26
4.57,12
1.58,12
7.73,16
0,0
0,0
3.3,26
0,0
22.21,1
0,0
0,0
0,0
13.31,9
3.16,15
7.67,9
2.03,21
0,0
0,0
0,0
1.88,21
0,0
0,0
0,0
0,0
2.12,24
0,0
0,0
5.88,24
2.26,31
0,0
30.82,12
0,0
4.1,22
1.22,18
28.63,1
40.74,5
2.43,25
0,0
13.52,5
4.38,13
0,0
3.49,25
0,0
0,0
0,0
1.94,22
11.7,7
4.03,9
5.49,3
7.34,15
0,0
0,0
4.92,19
7.65,19
4.79,21
0,0
4.46,26
2.86,15
11.98,3
3.45,17
1.74,33
0,0
4.49,14
0,0
1.9,24
0,0
0,0
4.69,18
2.87,24
8.16,30
0,0
2.62,11
0,0
0,0
0,0
