theta1,theta2
7.104599,41.21678
7.0543823,41.18303
7.0246887,41.30403
7.025238,41.062393
7.0609436,41.200058
7.0946655,41.278885
7.038437,41.038193
7.074463,41.236923
7.107071,41.27977
7.0995483,41.256363
7.0885315,41.113235
7.138199,41.23857
7.084015,41.14247
7.1273346,41.301804
7.0844574,41.053635
7.124344,41.181778
7.1197357,41.092636
7.1385803,41.08458
7.0982513,40.95146
7.1503906,41.059433
7.081299,41.095657
7.1432953,41.07097
7.1072235,41.267075
7.1216736,40.991653
7.088867,41.265945
7.093628,41.08284
7.1148224,41.216537
7.183319,41.137253
7.1233063,41.012863
7.1118774,41.24031
7.069092,42.28499
7.0621185,42.326492
7.0195312,42.256332
7.0336304,42.16423
7.0518494,42.177567
7.071045,42.197067
7.0858154,42.089615
7.087433,42.329666
7.1147003,42.364883
7.0774994,42.412888
7.074997,42.29634
7.1656036,42.422073
7.0834656,42.297897
7.111786,42.357773
7.095566,42.233414
7.114609,42.298782
7.158966,42.141464
7.186783,42.177963
7.0907288,42.149094
7.1360016,42.081406
7.0987244,42.28575
7.163925,42.104874
7.1306,42.204483
7.125244,42.250626
7.081848,42.374588
7.084793,42.17076
7.145859,42.458084
7.185837,42.32576
7.1374054,42.2054
7.130722,42.18715
7.69545,40.36525
7.7277985,40.22487
7.7227936,39.993515
7.6963043,40.222427
7.7326813,39.93846
7.7628174,39.803177
7.802002,39.771652
7.7781525,39.93672
7.8017426,39.823624
7.7776337,39.957657
7.79657,39.75148
7.8592987,40.073746
7.7996216,39.787216
7.8339233,40.073013
7.832016,39.75685
7.8039093,39.82222
7.830826,39.624588
7.824112,39.772842
7.8171234,39.82579
7.82695,39.68547
7.8214417,39.743546
7.85495,39.709305
7.8190765,39.612686
7.8019867,39.69899
7.8147125,39.89299
7.812958,39.619553
7.793686,39.809402
7.8250427,39.669296
7.8347015,39.63417
7.8164673,39.510605
7.8573,38.330612
7.8710175,38.428726
7.8968353,37.987625
7.8378296,38.20323
7.8351746,37.940384
7.8529816,37.746475
7.9060364,37.822495
7.8766327,37.779892
7.888382,37.69728
7.8542633,37.683212
7.871872,37.599716
7.889496,37.816513
7.856598,37.671677
7.8577576,37.74446
7.850006,37.61818
7.822815,37.631393
7.8040314,37.57753
7.783661,37.603104
7.804291,37.605698
7.812958,37.39937
7.798279,37.50978
7.797989,37.487045
7.7410583,37.262283
7.7370453,37.517166
7.750656,37.58873
7.7269287,37.351578
7.671921,37.322433
7.7130737,37.323074
7.742584,37.288284
7.6776123,37.221786
6.14505,40.540512
6.1155396,40.908188
6.1309967,40.350235
6.1522217,40.415573
6.094452,39.872055
6.0716705,40.278214
6.078964,40.46971
6.0501404,40.105484
6.0040436,40.1606
6.021515,40.127487
5.983536,40.299576
5.9856567,40.559647
5.9722137,40.167923
5.9407196,40.009293
5.945526,39.958817
5.9291687,39.82286
5.911148,40.43779
5.9034576,39.79637
5.9010925,40.09767
5.911392,39.66899
5.899643,39.965134
5.9055634,39.44429
5.878891,39.793045
5.883011,39.940292
5.873825,39.79637
5.8810425,40.029007
5.863922,39.757492
5.8714447,39.8011
5.879196,39.428696
5.873764,39.42534
5.8015594,44.364304
5.798477,45.085587
5.800232,44.487442
5.812393,44.686996
5.7998505,44.547195
5.795807,44.706253
5.79953,45.35695
5.795471,44.893997
5.791153,45.2249
5.795517,44.8925
5.78566,45.22249
5.787979,45.248764
5.786667,45.093063
5.7821198,44.970352
5.7858276,45.13362
5.7836,44.87471
5.78389,45.540115
5.78302,45.05757
5.7800293,45.520065
5.7834625,45.1371
5.7839355,45.549088
5.7855835,45.173782
5.78244,45.574997
5.7841034,45.88359
5.781128,45.394638
5.7860413,45.7968
5.782547,45.542526
5.787277,45.65071
5.7873383,45.5616
5.7882996,45.423203
5.921051,42.422195
5.9147034,42.87834
5.923996,42.835922
5.9638824,42.933548
5.959137,43.02318
5.955673,43.33632
5.9678497,43.72255
5.962387,43.702988
5.963272,43.87419
5.9741974,43.67488
5.954193,44.057297
5.984543,44.169205
5.981125,44.22133
5.95874,44.079025
5.9823914,44.292465
5.992325,44.17256
5.9868774,44.68483
6.015976,44.34178
6.0,44.755325
6.017639,44.58922
6.0316467,45.00966
6.0711517,44.85353
6.056381,45.311203
6.0993958,45.412582
6.061905,45.168137
6.122711,45.547775
6.1274414,45.39189
6.1771393,45.576187
6.138565,45.59816
6.186096,45.621964
6.215927,45.158585
6.2140656,45.291397
6.238083,45.200882
6.284256,45.449173
6.336975,45.439377
6.3533325,45.670578
6.4264374,45.905563
6.4154816,46.029312
6.4017334,46.004562
6.3928986,45.989273
6.4058685,46.225693
6.505142,46.291702
6.521408,46.38582
6.4625244,46.28215
6.5304565,46.50023
6.553665,46.39357
6.590317,46.624832
6.650421,46.60463
6.6545563,46.667038
6.7214203,46.69136
6.7542877,46.827133
6.8451996,46.809525
6.7969666,46.86409
6.920639,47.02739
6.884079,46.96617
7.009308,47.052505
6.953491,47.049637
7.1307983,47.02153
7.035141,47.087173
7.1226196,47.124283
7.8026886,47.170334
7.8312225,47.192337
7.8766785,47.18785
7.9649353,47.24254
8.057449,47.262924
8.03183,47.292465
8.071686,47.346237
8.109222,47.365646
8.112137,47.361588
8.137253,47.37645
8.163284,47.44362
8.225311,47.41649
8.221909,47.430008
8.190353,47.450455
8.23465,47.48329
8.25769,47.429855
8.272888,47.507034
8.303024,47.492844
8.314331,47.518845
8.298843,47.54265
8.333939,47.55754
8.365219,47.565598
8.357437,47.573074
8.371704,47.604996
8.377594,47.596268
8.396973,47.609238
8.372101,47.62288
8.401169,47.615555
8.388306,47.63304
8.402664,47.607437
8.2526245,47.655075
8.254654,47.682877
8.270538,47.68071
8.288803,47.67711
8.319,47.6942
8.318405,47.69963
8.307419,47.693832
8.335022,47.714615
8.332275,47.69664
8.306427,47.715225
8.333939,47.709213
8.349075,47.719498
8.344986,47.72087
8.313538,47.70909
8.331482,47.732895
8.346817,47.715927
8.362167,47.708725
8.38089,47.719833
8.378403,47.71913
8.360168,47.71492
8.3680725,47.733475
8.391876,47.741074
8.373718,47.71913
8.375214,47.73726
8.380737,47.722946
8.388092,47.729324
8.369461,47.729294
8.400116,47.729263
8.356659,47.731125
8.382156,47.700882
8.362625,47.77919
8.346603,47.79512
8.358765,47.789505
8.367645,47.77864
8.37471,47.785538
8.377716,47.79152
8.354385,47.78105
8.365067,47.787033
8.342392,47.7787
8.313965,47.789017
8.331375,47.778152
8.35141,47.78447
8.327179,47.77498
8.280243,47.76512
8.271957,47.77455
8.293488,47.761826
8.298416,47.749832
8.320282,47.74901
8.300766,47.745377
8.266296,47.737686
8.248077,47.74745
8.2747345,47.744247
8.249847,47.74086
8.208237,47.730026
8.201477,47.704422
8.1957245,47.70613
8.150131,47.704636
8.216537,47.698807
8.122284,47.700394
8.164139,47.64943
8.345657,47.618546
8.325882,47.629807
8.328354,47.581467
8.345032,47.573044
8.346878,47.571518
8.3333435,47.56523
8.324768,47.545395
8.335892,47.553238
8.290146,47.502853
8.267929,47.545486
8.273819,47.499252
8.315689,47.462265
8.260223,47.437057
8.244125,47.39766
8.20578,47.393753
8.205521,47.325912
8.212143,47.35402
8.229416,47.289566
8.198151,47.254166
8.165329,47.22682
8.137314,47.20732
8.143158,47.126602
8.147736,47.188644
8.045959,47.107986
8.040497,46.96785
8.034103,46.89354
7.9350586,46.914536
8.019562,46.864914
7.941635,46.847214
7.9223785,46.597275
7.5720215,46.0952
7.499466,46.09337
7.512512,45.968613
7.5084076,45.76036
7.459152,45.743515
7.403946,45.82109
7.3410797,45.70375
7.3880005,45.64717
7.2746735,45.325363
7.1817017,45.53224
7.162964,45.13774
7.1916656,44.841354
7.0735626,45.0717
7.024994,44.64995
6.973831,44.606033
6.88031,44.45378
6.8898315,44.60573
6.908737,44.100082
6.8287354,44.272446
6.8097687,44.020462
6.7374725,43.915146
6.6671143,43.645462
6.690277,43.648544
6.566452,43.668076
6.592331,43.1855
6.5377655,42.85167
6.467819,42.852097
6.5201416,42.499893
6.4394226,42.544632
6.4123535,41.959274
6.652115,42.63777
6.532135,42.46132
6.5640106,42.374832
6.5588684,42.058304
6.5401154,41.92668
6.4989624,42.116287
6.4296722,41.91664
6.455948,41.66011
6.359268,41.552048
6.352234,41.641342
6.322754,41.265823
6.326004,40.70781
6.263794,41.15471
6.226944,40.745224
6.2299805,40.339096
6.185852,40.467667
6.150467,40.76277
6.1746216,40.113876
6.124939,40.37538
6.1217194,40.03218
6.092499,40.080704
6.0773773,39.66588
6.086319,40.097336
6.026016,39.88304
6.041443,39.668198
6.017441,39.311783
6.005188,39.436813
6.0118103,39.146408
6.01622,39.22917
6.0025024,38.93138
6.102783,37.666153
6.03244,37.445633
6.039795,37.492966
6.0574646,37.404556
6.0696716,37.309097
6.056839,37.479385
6.034561,37.534378
6.052109,37.36061
6.0345764,37.405716
6.0321503,37.431595
6.0070953,37.15724
6.007599,36.996628
6.003525,37.311203
5.993515,37.0074
5.98645,36.86464
6.000534,37.102432
5.9976196,37.132217
6.0032806,36.913223
5.9725037,37.061264
5.989105,37.067764
5.9733124,37.041702
5.9618835,36.959732
5.971039,37.22719
5.9570465,37.34343
5.9620056,37.175064
5.952667,36.97133
5.956711,37.026535
5.9599,37.13893
5.973755,37.357407
5.97966,37.21495
5.9261627,37.797287
5.9114075,37.920334
5.9160156,37.893784
5.9241486,37.807693
5.930176,38.003372
5.9305725,38.484512
5.9139557,38.44951
5.9270782,38.306015
5.9432983,38.32036
5.924759,38.571213
5.907593,38.196274
5.9263763,38.311264
5.9256897,38.882126
5.9286194,38.41899
5.926483,38.766037
5.9449463,38.80562
5.957382,38.599594
5.9657593,38.710373
5.953491,39.087845
5.9644775,39.134842
5.9721375,39.08632
5.9601593,39.619614
5.960312,39.69948
5.9728546,40.104202
5.9917145,39.947342
5.995819,39.84233
6.013977,39.83217
6.0443726,40.3459
6.004547,40.555862
6.049057,40.21672
6.191345,39.995834
6.163498,40.09886
6.2274323,40.32057
6.2242737,40.329666
6.2834167,40.365555
6.290436,40.887802
6.2922974,40.94478
6.3356476,41.07704
6.375305,41.173386
6.3582,41.447525
6.339859,41.24196
6.420288,41.40599
6.4463806,41.906906
6.451889,41.879227
6.5171967,41.94615
6.572769,42.184067
6.5939026,42.10826
6.7324066,42.374496
6.688202,42.718765
6.6908875,42.76747
6.7800446,42.92302
6.7855377,43.456406
6.809723,43.605453
6.8310394,43.78618
6.9835815,43.864
6.981598,43.899887
7.0203094,43.994064
7.085617,44.121353
7.04364,44.46022
7.173691,44.36821
7.5548706,44.07817
7.558853,43.707382
7.6532745,43.88054
7.704788,44.229294
7.847519,44.11528
7.8202057,44.400253
7.8369904,44.533768
7.9062347,44.47377
7.945816,44.49727
7.986191,44.755447
7.989929,44.719833
8.057404,44.691055
8.110901,44.940384
8.104996,44.992203
8.164185,45.026962
8.192032,45.130905
8.197037,45.321243
8.256287,45.257187
8.274887,45.41301
8.260315,45.618332
8.294113,45.650192
8.295975,45.685684
8.330673,45.971878
8.316391,45.917038
8.355576,45.999405
8.363205,46.03282
8.346207,46.169327
8.361404,46.198624
8.37558,46.276627
8.385162,46.29036
8.095886,47.02571
8.098633,46.981064
