theta1,theta2
0.24291644,0.16080347
0.23085856,0.1480017
0.21657088,0.14714645
0.2242847,0.14405242
0.21980101,0.15749168
0.24706882,0.16747019
0.23325378,0.15858336
0.23535547,0.15183601
0.22733636,0.15619195
0.2485054,0.15496406
0.22003505,0.16259834
0.23912156,0.16223873
0.25683582,0.15245007
0.2355468,0.14072
0.21937266,0.15206416
0.2399164,0.16989224
0.23807739,0.1479322
0.23963381,0.14448428
0.24425547,0.15418047
0.23697221,0.15672483
0.21520849,0.14667834
0.23502362,0.16315906
0.24028894,0.16455685
0.22362158,0.14289287
0.25915357,0.16084862
0.24270773,0.14599565
0.24767584,0.14481984
0.23618795,0.15867396
0.24088536,0.15918209
0.2266585,0.16334252
0.06578802,0.0007725879
0.06025659,0.0012782412
0.06318019,0.00084974064
0.05798628,0.00093863416
0.064225875,0.0010379496
0.060381655,0.0007757028
0.06291543,0.0007674752
0.061432164,0.00095928024
0.05982198,0.0007505295
0.0631806,0.00088044006
0.0611464,0.0009752333
0.06330753,0.00086897606
0.059045233,0.0008195682
0.062909834,0.0006301239
0.05770111,0.0011394878
0.0626461,0.0010430093
0.059341792,0.0009454109
0.06659949,0.0009134193
0.058066867,0.0008473355
0.060582153,0.0009790811
0.0574309,0.000996999
0.0567266,0.0008791006
0.06286292,0.0010396602
0.0567101,0.001001594
0.06623535,0.001095391
0.06416947,0.0008335912
0.055895917,0.0007432785
0.05257763,0.0009950062
0.06192077,0.0010944807
0.065172486,0.00070115936
0.10596159,0.0008338511
0.102305606,0.0012409484
0.09790352,0.0010746174
0.10136636,0.0009738206
0.08622548,0.0012043196
0.09380238,0.0009144965
0.098206766,0.00087091944
0.10695756,0.0009488853
0.096618526,0.0010562581
0.0960784,0.0009597218
0.082128115,0.0010096129
0.09996204,0.0008955056
0.09501422,0.0009971629
0.10445837,0.00073163584
0.09476136,0.0009986303
0.10166366,0.0011183481
0.10711133,0.0010109468
0.09623118,0.0009995631
0.09780527,0.0010263656
0.09956285,0.0010309343
0.10779343,0.00087809213
0.081163436,0.0010022842
0.09729794,0.00096304866
0.09305028,0.0009688963
0.10394594,0.0011400133
