theta1,theta2
1.3350632,1.347907
1.3960885,1.2251059
1.3457266,1.2267239
1.4189808,1.1896524
1.3349448,1.1319015
1.3782525,1.1361238
1.4547596,1.104647
1.4171795,1.037315
1.327341,1.0409293
1.3760941,1.0074553
1.3352334,1.0204837
1.3973773,0.95695317
1.4225557,1.0143198
1.4132231,1.0073322
1.4620724,1.0139607
1.5569094,1.1183918
1.6398653,1.1145624
1.578038,1.1387557
1.7172022,1.0714073
1.7792765,1.2167999
1.7300647,1.2502044
1.7531816,1.3234562
1.8817875,1.4195983
1.8408535,1.3678399
1.9117441,1.4845765
2.0199282,1.5970125
1.9714822,1.6010796
2.1491745,1.6940422
2.220945,1.7465503
2.2692802,1.8164077
5.7257977,7.302867
5.8210516,7.181887
5.844231,7.075525
5.897475,7.0556355
5.966129,7.0024705
6.0139585,6.9672546
6.0304766,6.866441
6.0559006,6.855584
6.04617,6.8111
6.053229,6.830058
6.051704,6.788105
6.085001,6.7779603
6.0864377,6.80773
6.070749,6.762027
6.0972133,6.8351107
6.1102805,6.8223615
6.117179,6.8384233
6.0883336,6.897513
6.102424,6.8138995
6.1030703,6.8633647
6.0856442,6.902689
6.080619,6.9206405
6.0723963,6.999833
6.073942,7.0184283
6.032542,7.0666223
6.030281,7.0785246
6.012004,7.138161
5.997994,7.1754394
5.977029,7.324234
5.9360657,7.3493094
2.4794888,1.0213118
2.3452754,1.0831366
2.058791,1.1777809
1.7806541,1.3085314
1.59791,1.3661299
1.4388435,1.5788996
1.2529848,1.7482175
1.0997213,1.9263402
0.824492,2.0791528
0.6879382,2.327369
0.59830004,2.623762
0.5246414,2.653085
0.4678036,3.1332777
0.35493827,3.2882931
0.3061209,-2.682755
0.30065086,-2.3662171
0.2737945,-2.099648
0.22778161,-1.9162307
0.20473932,-1.8249803
0.20419082,-1.6252418
0.16693363,-1.4697647
0.15492262,-1.2543936
0.1584741,-1.1467834
0.1483882,-1.0741105
0.14849958,-0.8801913
0.12966806,-0.8742204
