theta1,theta2
5.84795,1.358151
5.879044,1.1274365
5.9199834,1.1506579
5.9665766,1.0778799
5.987111,0.86013776
6.0201936,0.8230789
6.040209,0.72962755
6.064232,0.69644535
6.064443,0.6414782
6.0639896,0.6259059
6.0848074,0.5538113
6.095791,0.58660454
6.079605,0.5425595
6.0951476,0.5831227
6.0950694,0.5643764
6.0941486,0.5538177
6.1014423,0.5508982
6.0880375,0.5516113
6.101081,0.5533697
6.083027,0.5710078
6.0791583,0.5761406
6.0730577,0.56361204
6.0489483,0.59712774
6.049468,0.65191513
6.007938,0.6154674
6.0154457,0.677213
5.9514313,0.71602523
5.9456153,0.7466686
5.9125843,0.8231246
5.8817673,0.8168889
0.382241,2.1854267
0.31524304,2.268776
0.2576343,2.578048
0.19501854,2.7347949
0.14793518,2.7351701
0.120501146,3.0369878
0.098926924,3.2948291
0.08110096,3.5202744
0.062537484,3.6941767
0.050559767,3.7733319
0.0442665,4.123738
0.03491974,4.0811296
0.032529287,4.3923063
0.025990985,4.5861096
0.020470455,4.690461
0.021315075,4.891743
0.018324679,4.978143
0.018525098,5.020174
0.01577695,5.139346
0.016653134,5.2482862
0.014234444,5.2804313
0.013957103,5.4190497
0.015215595,5.395687
0.014676567,5.400847
0.015312633,5.4963655
0.015523279,5.5445395
0.017797913,5.429784
0.019661672,5.529958
0.020432265,5.5221934
0.026000822,5.523109
-0.0024691457,6.054866
-0.0025207205,6.102617
-0.0027018078,6.138761
-0.0028347266,6.1399326
-0.0028715662,6.166683
-0.0029441637,6.1863365
-0.0029708636,6.2161717
-0.0030028664,6.2242236
-0.0030077,6.229865
-0.0030155398,6.2286487
-0.0030095454,6.2413955
-0.0030382883,6.239365
-0.0030101284,6.241728
-0.0030116804,6.2419043
-0.0030241904,6.236904
-0.0029776492,6.247003
-0.002977931,6.242073
-0.0029150813,6.231719
-0.0029016295,6.2310753
-0.0028409434,6.2176466
-0.002742549,6.209437
-0.0025949068,6.218826
-0.0025208436,6.1944904
-0.0023673875,6.16451
-0.0020061422,6.172925
-0.0017874241,6.17022
-0.0010165706,6.105743
-0.00052002154,6.1111407
0.00039500694,6.099027
0.0025019823,6.03972
0.006746621,6.270599
0.009449297,6.276848
0.010035336,6.2810054
0.011707144,6.277542
0.014855132,6.2798123
0.017000658,6.282073
0.02287049,6.283999
0.023910768,6.2838774
0.03367506,6.2843075
0.045576926,6.2834373
