epoch,training_loss,train_accuracy,test_loss,test_accuracy,real_test_loss,real_test_accuracy,real_complete_loss,real_complete_accuracy
0,0.15577896217229345,0.8771428571428571,0.04866398460838051,0.9533333333333334,0.05308670242730942,0.9722222222222222,0.05645957086397155,0.9438202247191011
1,0.0444762571310691,0.9571428571428572,0.05972605696345757,0.9266666666666666,0.06220254476647824,0.9444444444444444,0.08263226591045393,0.9101123595505618
2,0.03543359509626628,0.9728571428571429,0.0338922678320038,0.9766666666666667,0.03778134715765999,0.9722222222222222,0.043524062687213934,0.9550561797752809
3,0.02463312025359398,0.9828571428571429,0.03560749022430779,0.97,0.041303845830649756,0.9444444444444444,0.049106796749634835,0.9382022471910112
4,0.019659699941995703,0.9928571428571429,0.019799688549534646,0.9866666666666667,0.052545314565207946,0.9444444444444444,0.04883449944051198,0.9382022471910112
5,0.012369246458517539,0.9957142857142857,0.022749776109703815,0.9833333333333333,0.03931321472110641,0.9444444444444444,0.04444024113845853,0.9438202247191011
6,0.013121591746004404,0.9942857142857143,0.02329807501222149,0.9866666666666667,0.04311194925725835,0.9444444444444444,0.047792974493552645,0.9325842696629213
7,0.010463597236963064,0.9928571428571429,0.014691739299384304,0.9866666666666667,0.04490376282329736,0.9444444444444444,0.057285397911461554,0.9325842696629213
8,0.006544218658941645,0.9957142857142857,0.017078882142110768,0.98,0.04911643468141039,0.9444444444444444,0.036130128244560716,0.9550561797752809
9,0.00649047200744982,0.9971428571428571,0.017997533971283702,0.9833333333333333,0.048933475843417305,0.9444444444444444,0.032906693987590614,0.9606741573033708
10,0.006354658165315154,0.9971428571428571,0.01737416968443237,0.9866666666666667,0.04963418951269381,0.9444444444444444,0.04917224004729883,0.9325842696629213
11,0.006531389031628611,0.9971428571428571,0.014172930877866747,0.9866666666666667,0.052099822495519116,0.9444444444444444,0.044138083220827816,0.949438202247191
12,0.005364444321311177,0.9971428571428571,0.015176526644136174,0.9866666666666667,0.07177120618224661,0.9166666666666666,0.053436450653034526,0.9382022471910112
13,0.004240077398867145,0.9971428571428571,0.015194503056231193,0.9833333333333333,0.03950175733148677,0.9444444444444444,0.03958365941236756,0.9550561797752809
14,0.0051739469592121164,0.9971428571428571,0.021207655126903167,0.9866666666666667,0.0710909165237202,0.9444444444444444,0.05377658244596501,0.9438202247191011
15,0.004587051390741246,0.9971428571428571,0.013797934381199705,0.9866666666666667,0.060830079152462226,0.9166666666666666,0.05371793399931295,0.9213483146067416
16,0.003565960419463668,0.9985714285714286,0.015125318559057632,0.9866666666666667,0.054765791576654815,0.9444444444444444,0.042205524860241636,0.949438202247191
17,0.0036238543679725206,0.9971428571428571,0.014562079545394227,0.9866666666666667,0.06736841104187381,0.9166666666666666,0.0522817964394174,0.9325842696629213
18,0.0029510649654314746,1.0,0.014658510007913416,0.9866666666666667,0.05748293139792319,0.9444444444444444,0.047401680308927566,0.9325842696629213
19,0.0031705386335150773,1.0,0.01411310257317382,0.9866666666666667,0.059111072314206266,0.9444444444444444,0.04873660870366161,0.949438202247191
