epoch,training_loss,train_accuracy,validation_loss,validation_accuracy
0,1.34359929561615,21.4,0.8536418080329895,0.453125
1,0.7796581208705902,20.9,0.5025619864463806,0.359375
2,0.4563123345375061,20.5,0.3487756699323654,0.4609375
3,0.2657343909144402,20.9,0.2162948176264763,0.734375
4,0.1887626066803932,21.7,0.17324412614107132,0.796875
5,0.15466911643743514,20.5,0.12046618014574051,0.8515625
6,0.12455052360892296,20.5,0.11545924842357635,0.8671875
7,0.10918494835495948,20.4,0.09898613393306732,0.8828125
8,0.10075656175613404,21.6,0.09049007296562195,0.9140625
9,0.09327523782849312,21.2,0.08885703608393669,0.921875
10,0.08749495334923267,21.1,0.08529621735215187,0.90625
11,0.08005211390554905,20.4,0.08629041910171509,0.921875
12,0.07357806339859962,20.8,0.07232003659009933,0.9453125
13,0.06723141334950924,20.9,0.08163084462285042,0.921875
14,0.06623912006616592,20.8,0.0632273443043232,0.953125
15,0.060369817167520524,21.5,0.06665673106908798,0.9296875
16,0.05877089314162731,21.2,0.0682324469089508,0.9453125
17,0.053779087215662005,20.8,0.07677217572927475,0.9140625
18,0.051578091271221635,20.8,0.052575523033738136,0.9453125
19,0.04759506694972515,21.6,0.07659405469894409,0.9140625
20,0.04731580838561058,21.3,0.07029690593481064,0.9296875
21,0.04515028782188892,21.0,0.0557219460606575,0.9453125
22,0.044967885687947275,20.8,0.04747447371482849,0.9375
23,0.04096690155565739,21.2,0.0706079863011837,0.9296875
24,0.0385745644569397,20.5,0.07085790671408176,0.90625
25,0.03599322959780693,21.0,0.06978071480989456,0.921875
26,0.033824692107737066,21.0,0.07522715255618095,0.9140625
27,0.03159614000469446,20.9,0.07166068255901337,0.921875
28,0.029006635770201683,21.1,0.0684572234749794,0.9296875
29,0.030061886366456746,21.6,0.06672638468444347,0.9296875
30,0.027151226252317428,21.2,0.07299895584583282,0.921875
31,0.025467568635940553,21.6,0.07390331290662289,0.9140625
32,0.023415411915630104,20.6,0.07240529172122478,0.921875
33,0.02163272462785244,21.3,0.06357522122561932,0.9375
34,0.02243574261665344,20.8,0.07261529564857483,0.921875
35,0.01958583267405629,21.2,0.07709644734859467,0.9296875
36,0.01871075965464115,20.5,0.07626841962337494,0.9375
37,0.018824494816362856,21.0,0.07475491426885128,0.9375
38,0.01658842097967863,20.6,0.06598375551402569,0.9375
39,0.015798790846019983,21.2,0.07057784125208855,0.9375
40,0.01387307238765061,20.9,0.0794992707669735,0.9296875
41,0.013750857859849929,21.5,0.07349780574440956,0.9375
42,0.01402785312384367,21.3,0.08156049251556396,0.9296875
43,0.013019436690956353,20.4,0.08115510269999504,0.921875
44,0.011633638013154268,20.5,0.0726549793034792,0.9375
45,0.011106961499899625,21.2,0.07818097062408924,0.921875
46,0.010665808897465467,20.2,0.07864785194396973,0.9296875
47,0.010534464288502932,20.8,0.057418301701545715,0.9296875
48,0.00987032800912857,20.3,0.07512690126895905,0.9375
49,0.007941941637545824,20.8,0.07253167033195496,0.9375
