epoch,training_loss,train_accuracy,validation_loss,validation_accuracy
0,1.3307774901390075,21.4,0.8308837711811066,0.421875
1,0.7087024003267288,20.9,0.34643906354904175,0.4609375
2,0.27580952644348145,20.5,0.1825304925441742,0.7734375
3,0.13729319870471954,20.9,0.11688373982906342,0.84375
4,0.11393706277012824,21.7,0.11113223060965538,0.875
5,0.09291106685996056,20.5,0.060884732753038406,0.9609375
6,0.07626990526914597,20.5,0.06907615065574646,0.9296875
7,0.06432636752724648,20.4,0.05310065392404795,0.953125
8,0.055041594058275224,21.6,0.052946675568819046,0.953125
9,0.048821020498871805,21.2,0.048741674050688744,0.96875
10,0.04712491445243359,21.1,0.04738899692893028,0.9609375
11,0.04353952594101429,20.4,0.040090277791023254,0.96875
12,0.03844809178262949,20.8,0.03467558603733778,0.9765625
13,0.036243952438235284,20.9,0.038292046636343,0.9765625
14,0.03443595990538597,20.8,0.029547016136348248,0.984375
15,0.03186927791684866,21.5,0.03089264314621687,0.9765625
16,0.028893134742975234,21.2,0.02810690924525261,0.9765625
17,0.02774335816502571,20.8,0.03766615316271782,0.96875
18,0.02646858673542738,20.8,0.039021048694849014,0.96875
19,0.024730670265853405,21.6,0.03642567805945873,0.9765625
20,0.023359761107712984,21.3,0.03656959068030119,0.9765625
21,0.021350833866745234,21.0,0.034898363053798676,0.9765625
22,0.02073841467499733,20.8,0.034803153946995735,0.9765625
23,0.020538031309843063,21.2,0.03431053180247545,0.96875
24,0.018860613089054824,20.5,0.028430519625544548,0.984375
25,0.016903299652040005,21.0,0.03410391416400671,0.9765625
26,0.014629710372537375,21.0,0.03594467043876648,0.9765625
27,0.01650240533053875,20.9,0.03733676113188267,0.96875
28,0.014621932664886117,21.1,0.03282756730914116,0.9765625
29,0.01446846704930067,21.6,0.027371970936655998,0.984375
30,0.013464977405965329,21.2,0.019506337586790323,0.9921875
31,0.012349807796999812,21.6,0.02100939955562353,0.984375
32,0.012728574126958847,20.6,0.034489959478378296,0.9765625
33,0.012010681023821235,21.3,0.02458882424980402,0.9765625
34,0.010788011038675905,20.8,0.03069101646542549,0.984375
35,0.010363745829090476,21.2,0.02330018300563097,0.984375
36,0.009777225367724896,20.5,0.030097896698862314,0.96875
37,0.00916385962627828,21.0,0.025823408272117376,0.984375
38,0.008457562839612364,20.6,0.027192207984626293,0.9765625
39,0.008250916469842195,21.2,0.03217264823615551,0.96875
40,0.0073247724678367375,20.9,0.01607170980423689,0.984375
41,0.006458765035495162,21.5,0.021263794042170048,0.984375
42,0.007056440180167556,21.3,0.02962520532310009,0.9765625
43,0.007025810470804572,20.4,0.028571151196956635,0.9765625
44,0.007756924536079168,20.5,0.02463712729513645,0.9765625
45,0.006275403336621821,21.2,0.020278848707675934,0.9765625
46,0.005913749081082642,20.2,0.026783250272274017,0.9765625
47,0.0055559215834364295,20.8,0.029062092304229736,0.96875
48,0.0053303748136386275,20.3,0.021942217834293842,0.984375
49,0.004784721042960882,20.8,0.030980349518358707,0.96875
