epoch,training_loss,train_accuracy,validation_loss,validation_accuracy
0,1.2386986196041108,21.1,0.8611592352390289,0.453125
1,0.7575461208820343,21.6,0.7068481147289276,0.28125
2,0.6350220203399658,21.4,0.65919229388237,0.265625
3,0.5754803001880646,20.5,0.5795125365257263,0.3671875
4,0.5675804793834687,21.4,0.5901662707328796,0.3359375
5,0.5533934623003006,21.0,0.5744123756885529,0.3359375
6,0.5290861159563065,21.5,0.5831900537014008,0.3515625
7,0.5374194890260696,21.0,0.5515296757221222,0.40625
8,0.512730211019516,20.9,0.5491872131824493,0.421875
9,0.5162375807762146,21.5,0.5427929162979126,0.4375
10,0.4911454975605011,20.4,0.5432873666286469,0.4453125
11,0.48135573863983155,20.9,0.5121167153120041,0.453125
12,0.48340108096599577,21.1,0.5772466510534286,0.4296875
13,0.4834458142518997,21.5,0.5482177436351776,0.453125
14,0.47730694711208344,21.4,0.5244981348514557,0.4921875
15,0.4589489609003067,21.4,0.5624586045742035,0.46875
16,0.4597091615200043,21.4,0.5378666967153549,0.4921875
17,0.45440747439861295,20.9,0.5494771003723145,0.4765625
18,0.45301623940467833,21.4,0.5625677406787872,0.46875
19,0.43280249238014223,20.6,0.5730142593383789,0.4765625
20,0.4277205795049667,21.5,0.5774483680725098,0.4453125
21,0.416583651304245,20.7,0.5222459137439728,0.4765625
22,0.4252850145101547,20.7,0.589204341173172,0.4609375
23,0.41133535504341123,21.7,0.5636794418096542,0.484375
24,0.39791278839111327,20.3,0.5677191913127899,0.4765625
25,0.4060701191425323,20.8,0.574420154094696,0.484375
26,0.3899265557527542,21.3,0.5713890194892883,0.5234375
27,0.38065595626831056,20.8,0.5925226807594299,0.4453125
28,0.3710207998752594,20.9,0.6022834479808807,0.453125
29,0.3600968837738037,21.0,0.5742189884185791,0.4453125
30,0.3518888890743256,21.5,0.5766398310661316,0.4453125
31,0.34057050943374634,21.6,0.604816734790802,0.4296875
32,0.33130317330360415,21.6,0.6049388945102692,0.453125
33,0.3201221823692322,20.8,0.6193455457687378,0.4375
34,0.3092547029256821,21.1,0.6513155698776245,0.4296875
35,0.3084913268685341,21.1,0.5967001914978027,0.4453125
36,0.2965365707874298,21.0,0.6591941714286804,0.4296875
37,0.2665293201804161,21.2,0.6022018492221832,0.46875
38,0.2740649119019508,20.9,0.6000350415706635,0.4609375
39,0.25199651420116426,20.9,0.696131020784378,0.40625
40,0.24750267565250397,21.6,0.6216458976268768,0.4375
41,0.241853766143322,21.3,0.6297124028205872,0.4453125
42,0.2220464453101158,21.1,0.6869331300258636,0.46875
43,0.21988616287708282,21.6,0.6832657754421234,0.4375
44,0.215034119784832,20.8,0.7663402259349823,0.4140625
45,0.18520452380180358,21.4,0.635342925786972,0.4609375
46,0.1921738103032112,21.4,0.679107666015625,0.46875
47,0.18125306516885759,20.9,0.6691865921020508,0.484375
48,0.17572762668132783,21.3,0.7227211892604828,0.453125
49,0.1587883062660694,20.8,0.6680470407009125,0.453125
