epoch,training_loss,train_accuracy,validation_loss,validation_accuracy
0,1.1978964507579803,21.7,0.8650882840156555,0.3359375
1,0.6230431228876114,21.5,0.35029369592666626,0.546875
2,0.331425866484642,21.2,0.2671107053756714,0.671875
3,0.23183223605155945,20.9,0.2129898965358734,0.6796875
4,0.1978025183081627,21.0,0.16761880367994308,0.765625
5,0.16881693303585052,21.6,0.16503624618053436,0.8203125
6,0.14970544278621672,21.8,0.15084121376276016,0.84375
7,0.13451682925224304,21.7,0.11557150259613991,0.8828125
8,0.1293960116803646,20.9,0.11278584599494934,0.8984375
9,0.11860222816467285,21.8,0.1385836824774742,0.8359375
10,0.11288329362869262,21.2,0.10714299976825714,0.90625
11,0.1138758584856987,21.3,0.11692541092634201,0.8984375
12,0.10919675305485725,20.6,0.13211604952812195,0.8671875
13,0.10265572629868984,20.8,0.1210557296872139,0.8828125
14,0.09706502482295036,21.2,0.12416603416204453,0.8671875
15,0.09223004579544067,21.9,0.13835923373699188,0.8671875
16,0.09550030305981635,20.9,0.14630979299545288,0.84375
17,0.08463134951889514,21.4,0.12230278551578522,0.859375
18,0.08495398126542568,22.1,0.13878359273076057,0.8671875
19,0.07965343929827214,21.9,0.1394357904791832,0.8671875
20,0.07983823232352734,20.9,0.13326899334788322,0.8828125
21,0.07147662937641144,21.4,0.13228561729192734,0.875
22,0.07275861576199531,21.2,0.1154785007238388,0.890625
23,0.07014386281371117,21.2,0.13744724541902542,0.8828125
24,0.06966746561229228,21.4,0.1257445551455021,0.8984375
25,0.0627688530832529,21.7,0.137290358543396,0.8984375
26,0.06273029781877995,21.1,0.16311787068843842,0.8671875
27,0.059733382612466815,21.7,0.1551828570663929,0.8671875
28,0.05614963285624981,21.5,0.13906992226839066,0.890625
29,0.05831112693995237,21.2,0.15274615585803986,0.8828125
30,0.04876196868717671,21.5,0.15950967371463776,0.8671875
31,0.05255710780620575,21.7,0.13942181318998337,0.8828125
32,0.04809582903981209,20.9,0.1148439422249794,0.890625
33,0.048565680533647536,21.8,0.13787638023495674,0.890625
34,0.0459444660693407,21.3,0.14574621245265007,0.8828125
35,0.04459243156015873,21.2,0.13025004416704178,0.8984375
36,0.042787831649184226,21.4,0.1313871331512928,0.90625
37,0.039918907731771466,21.9,0.14531369879841805,0.890625
38,0.04045078363269568,21.6,0.11893836781382561,0.8984375
39,0.03584293331950903,21.6,0.1264733448624611,0.8984375
40,0.03861646112054586,21.5,0.15103909745812416,0.8828125
41,0.03612857200205326,21.3,0.13362425565719604,0.8984375
42,0.03298046998679638,21.4,0.12676385417580605,0.890625
43,0.032528447732329366,21.6,0.13289937749505043,0.8984375
44,0.031841743364930154,21.9,0.13896270841360092,0.890625
45,0.031059817411005497,20.6,0.12597251683473587,0.8984375
46,0.030187539383769037,21.9,0.16190030425786972,0.875
47,0.02642520349472761,21.6,0.15517594292759895,0.8984375
48,0.02779171969741583,22.0,0.1681392751634121,0.859375
49,0.02655485551804304,21.5,0.15389733016490936,0.8984375
